iter	Logloss
0	0.6371744258
1	0.5869914754
2	0.5398080241
3	0.5030497575
4	0.4709004578
5	0.445054257
6	0.4216748667
7	0.4014101947
8	0.3776340383
9	0.3608084385
10	0.3463811378
11	0.3309528706
12	0.321826802
13	0.3119510587
14	0.3014703897
15	0.2956925782
16	0.2892713348
17	0.2835161271
18	0.2782199458
19	0.2736991935
20	0.2705633717
21	0.2655601392
22	0.2623474796
23	0.2581274024
24	0.2546919557
25	0.2531203692
26	0.250186281
27	0.2490188617
28	0.2474264968
29	0.2451782977
30	0.2438395249
31	0.2422197554
32	0.241291776
33	0.2400791992
34	0.238389343
35	0.2375593799
36	0.2364310921
37	0.2355172401
38	0.2340477205
39	0.2330985376
40	0.2319982795
41	0.2314075312
42	0.2306859861
43	0.2299601654
44	0.2293834194
45	0.2288018226
46	0.2281027563
47	0.2274313946
48	0.2267998395
49	0.2261579077
50	0.2255034238
51	0.2247764278
52	0.2243303786
53	0.2236029075
54	0.223130754
55	0.2226526494
56	0.2222810376
57	0.2219461568
58	0.2217106677
59	0.2213205277
60	0.2208766289
61	0.2204874891
62	0.2198686111
63	0.2194547673
64	0.21926101
65	0.2188215369
66	0.2182713954
67	0.2179893484
68	0.217806493
69	0.2172998087
70	0.2170209873
71	0.2166519509
72	0.2164201373
73	0.2159465835
74	0.2156234547
75	0.2154010427
76	0.2151734049
77	0.2150379823
78	0.2146462671
79	0.2144144786
80	0.2141650871
81	0.2136632536
82	0.2134304398
83	0.2131808233
84	0.2128355158
85	0.2125519686
86	0.2124351492
87	0.2119262145
88	0.2114615872
89	0.2112005938
90	0.2108741895
91	0.2105374834
92	0.2102966684
93	0.2099083287
94	0.2095595457
95	0.2093312827
96	0.2089693725
97	0.2086446935
98	0.2083968397
99	0.2082023574
100	0.2080067248
101	0.207746494
102	0.2076062957
103	0.2071894513
104	0.2069356091
105	0.206784884
106	0.2065737989
107	0.2063566377
108	0.2061310252
109	0.2058513162
110	0.2055704944
111	0.2053701361
112	0.2051837176
113	0.2049783959
114	0.2046976242
115	0.2042075676
116	0.2038849139
117	0.2036747665
118	0.2035411567
119	0.2034108976
120	0.2032657734
121	0.2030268337
122	0.2027608644
123	0.2026076764
124	0.2023962162
125	0.2020467206
126	0.201658631
127	0.2014596479
128	0.2012984586
129	0.2011533219
130	0.2008995172
131	0.2007929119
132	0.2005558725
133	0.2003840689
134	0.2000376988
135	0.1996523221
136	0.1995388908
137	0.1993324814
138	0.1992361404
139	0.1990197919
140	0.1988109196
141	0.1985668665
142	0.1982459881
143	0.198052906
144	0.1978071401
145	0.1976262225
146	0.1974644456
147	0.1972699757
148	0.1970109076
149	0.1968597825
150	0.1966616995
151	0.1964682923
152	0.1963072905
153	0.1960813154
154	0.1959021981
155	0.1957533734
156	0.1955787068
157	0.1951135044
158	0.1947305532
159	0.1943791572
160	0.194098423
161	0.1939520236
162	0.1936449225
163	0.1934280364
164	0.1932767488
165	0.1930139675
166	0.1928638926
167	0.1925955104
168	0.1925414514
169	0.1922941477
170	0.1921721524
171	0.1919873592
172	0.191748732
173	0.1914686229
174	0.1913293622
175	0.1911815626
176	0.1908601341
177	0.1907000825
178	0.190456742
179	0.1902306669
180	0.1899706736
181	0.1898514413
182	0.1895263997
183	0.1891860306
184	0.1889830468
185	0.1887706114
186	0.1885360974
187	0.1883837471
188	0.1882417984
189	0.1881306674
190	0.1878626854
191	0.1876940573
192	0.1874468662
193	0.1872192033
194	0.187013519
195	0.1868506169
196	0.1866731624
197	0.1864861063
198	0.1863112022
199	0.1861670032
200	0.1859950246
201	0.1858933076
202	0.1857139278
203	0.1854753381
204	0.1852879069
205	0.1851001757
206	0.1848202916
207	0.1846437247
208	0.1844332397
209	0.1841899492
210	0.1839787141
211	0.1838426414
212	0.1836193793
213	0.1834334483
214	0.1833080275
215	0.1831297103
216	0.1829259764
217	0.1828340736
218	0.1825799313
219	0.1823641079
220	0.182112566
221	0.1819332862
222	0.1816367118
223	0.1814173754
224	0.1811487807
225	0.1808449426
226	0.1806628123
227	0.1804314113
228	0.1798889085
229	0.1798232226
230	0.1796302905
231	0.1794624751
232	0.1792813074
233	0.1791171426
234	0.1789569284
235	0.1788359583
236	0.1786752816
237	0.1784508692
238	0.1783158218
239	0.1780534531
240	0.177869585
241	0.1776782657
242	0.1774751944
243	0.1772654095
244	0.1769255654
245	0.1766473441
246	0.1764502988
247	0.1762890595
248	0.176099953
249	0.1759262491
250	0.1755866176
251	0.175417577
252	0.175258238
253	0.1750831963
254	0.1748421187
255	0.1746583757
256	0.1744995367
257	0.1742732866
258	0.1741349135
259	0.1738392769
260	0.1737084551
261	0.1734172316
262	0.1731905314
263	0.1729038712
264	0.1723959992
265	0.172295845
266	0.172103488
267	0.1719205326
268	0.1717637315
269	0.1715736499
270	0.1714109103
271	0.1710675406
272	0.1708852103
273	0.1706137151
274	0.170468616
275	0.1703255672
276	0.170122971
277	0.1698401114
278	0.1697093021
279	0.1693433287
280	0.1691953041
281	0.1690294265
282	0.1688592982
283	0.1687013219
284	0.1685277555
285	0.1683706044
286	0.1680833191
287	0.1678534058
288	0.1676705754
289	0.1674984592
290	0.1672988885
291	0.1671779934
292	0.1670620991
293	0.166911099
294	0.1667812524
295	0.1665644413
296	0.1663554565
297	0.1661038397
298	0.1658244682
299	0.165618959
300	0.1654470054
301	0.1651963387
302	0.1649131791
303	0.1647095327
304	0.1645883
305	0.1644425882
306	0.1642116748
307	0.1640706514
308	0.1637582244
309	0.1635729435
310	0.1633021735
311	0.1630550574
312	0.1627397924
313	0.1625685014
314	0.1624672596
315	0.1623283364
316	0.1622159552
317	0.1619728023
318	0.1618662345
319	0.1617137467
320	0.1615111255
321	0.1612673599
322	0.1610891052
323	0.16089246
324	0.1607202188
325	0.1605038078
326	0.1603923143
327	0.1602596172
328	0.1601029161
329	0.1600014742
330	0.1598248824
331	0.1596564543
332	0.1594548583
333	0.1592538248
334	0.1590553293
335	0.1588274789
336	0.1586457111
337	0.1583908562
338	0.1582317298
339	0.1580797795
340	0.1579452946
341	0.1576808381
342	0.1575246371
343	0.1573519209
344	0.1571356224
345	0.1570338554
346	0.1568847556
347	0.156778963
348	0.1565545382
349	0.1563114852
350	0.1561007752
351	0.1559711161
352	0.1558181531
353	0.1556261712
354	0.1555329807
355	0.1554155611
356	0.1552414572
357	0.1550388235
358	0.1548261631
359	0.1546636735
360	0.1544768925
361	0.1542912991
362	0.1540884903
363	0.1539324894
364	0.1538310725
365	0.15366607
366	0.1534570603
367	0.1533280388
368	0.1530908243
369	0.1530005218
370	0.1527388657
371	0.1524825356
372	0.152307444
373	0.152115487
374	0.1519739635
375	0.1518086985
376	0.1516094778
377	0.151472605
378	0.1512886494
379	0.151159728
380	0.1510281561
381	0.1508646289
382	0.1507445214
383	0.1506049732
384	0.1504395831
385	0.1502371245
386	0.1500125871
387	0.1498356326
388	0.1495460345
389	0.1494140375
390	0.149200427
391	0.1489820531
392	0.1488321907
393	0.1486934051
394	0.1485720974
395	0.1483738144
396	0.1482856997
397	0.1481456264
398	0.1480022901
399	0.1477968684
400	0.1475905841
401	0.1473640714
402	0.1472243231
403	0.1470324412
404	0.1468886798
405	0.1467680347
406	0.1465945183
407	0.1464813995
408	0.1463480773
409	0.1461502069
410	0.1460147969
411	0.1459102045
412	0.1458178266
413	0.1456891302
414	0.1455675224
415	0.1454306747
416	0.145240543
417	0.145189022
418	0.1450523617
419	0.1449263157
420	0.1447543246
421	0.1446205149
422	0.1444650765
423	0.1443055124
424	0.1442086213
425	0.1440297791
426	0.1439151475
427	0.1438317086
428	0.1437304918
429	0.1436073213
430	0.1435387348
431	0.1433974113
432	0.1432552127
433	0.143109876
434	0.1429981574
435	0.1428663605
436	0.1427459529
437	0.1425113389
438	0.1423081051
439	0.1420954072
440	0.1419431443
441	0.1417805923
442	0.1415840221
443	0.1414316092
444	0.1413149898
445	0.141115019
446	0.140916411
447	0.140736231
448	0.1406506793
449	0.1405297341
450	0.1403361769
451	0.1401667738
452	0.1400594434
453	0.1399947201
454	0.1398631857
455	0.1397091226
456	0.1395822015
