iter	Passed	Remaining
0	197	98465
1	210	52461
2	225	37361
3	239	29729
4	257	25449
5	271	22350
6	286	20183
7	301	18567
8	322	17613
9	337	16541
10	353	15700
11	367	14943
12	383	14359
13	400	13909
14	417	13490
15	432	13075
16	448	12752
17	464	12427
18	481	12200
19	496	11912
20	512	11694
21	527	11468
22	544	11283
23	568	11266
24	584	11110
25	602	10977
26	615	10781
27	630	10622
28	643	10444
29	658	10320
30	676	10238
31	690	10101
32	707	10006
33	721	9885
34	738	9812
35	752	9704
36	770	9641
37	784	9538
38	806	9534
39	829	9539
40	844	9449
41	861	9395
42	877	9328
43	896	9286
44	911	9216
45	930	9186
46	947	9134
47	964	9084
48	978	9006
49	996	8965
50	1010	8896
51	1028	8857
52	1042	8788
53	1059	8750
54	1074	8692
55	1091	8656
56	1106	8600
57	1124	8566
58	1137	8503
59	1153	8462
60	1169	8415
61	1185	8373
62	1226	8504
63	1240	8453
64	1254	8398
65	1279	8415
66	1294	8365
67	1312	8337
68	1327	8289
69	1346	8270
70	1361	8226
71	1380	8208
72	1398	8178
73	1411	8127
74	1425	8078
75	1438	8025
76	1459	8016
77	1474	7978
78	1493	7958
79	1506	7909
80	1532	7925
81	1555	7927
82	1568	7878
83	1587	7861
84	1600	7815
85	1616	7784
86	1629	7735
87	1644	7698
88	1674	7735
89	1693	7715
90	1708	7678
91	1726	7654
92	1749	7656
93	1762	7611
94	1783	7602
95	1801	7582
96	1820	7561
97	1835	7528
98	1858	7527
99	1876	7504
100	1889	7464
101	1906	7440
102	1921	7405
103	1939	7385
104	1952	7346
105	1972	7331
106	1986	7296
107	2004	7276
108	2021	7250
109	2039	7231
110	2055	7203
111	2073	7183
112	2088	7153
113	2108	7140
114	2124	7113
115	2140	7086
116	2156	7058
117	2188	7083
118	2205	7062
119	2221	7035
120	2236	7004
121	2253	6983
122	2267	6949
123	2289	6943
124	2305	6915
125	2324	6900
126	2341	6875
127	2361	6861
128	2375	6832
129	2394	6814
130	2408	6783
131	2428	6770
132	2446	6750
133	2459	6717
134	2485	6719
135	2511	6721
136	2524	6688
137	2543	6671
138	2561	6651
139	2576	6626
140	2590	6595
141	2618	6601
142	2633	6574
143	2647	6545
144	2661	6516
145	2681	6500
146	2699	6483
147	2713	6453
148	2727	6425
149	2746	6407
150	2765	6391
151	2778	6361
152	2799	6348
153	2816	6328
154	2837	6316
155	2853	6291
156	2875	6282
157	2894	6265
158	2911	6244
159	2931	6228
160	2947	6207
161	2965	6187
162	2982	6165
163	3002	6151
164	3019	6131
165	3033	6103
166	3047	6076
167	3066	6060
168	3083	6038
169	3099	6016
170	3124	6010
171	3143	5994
172	3159	5972
173	3176	5951
174	3191	5927
175	3210	5910
176	3224	5884
177	3244	5869
178	3260	5846
179	3278	5829
180	3295	5808
181	3326	5812
182	3343	5792
183	3362	5774
184	3383	5761
185	3401	5742
186	3415	5716
187	3443	5715
188	3468	5707
189	3482	5681
190	3501	5663
191	3515	5639
192	3531	5617
193	3544	5590
194	3557	5565
195	3577	5549
196	3595	5529
197	3612	5510
198	3633	5495
199	3651	5476
200	3664	5450
201	3677	5425
202	3697	5409
203	3715	5391
204	3728	5365
205	3748	5349
206	3762	5326
207	3779	5306
208	3793	5281
209	3812	5264
210	3826	5240
211	3843	5221
212	3857	5197
213	3877	5181
214	3897	5166
215	3916	5149
216	3932	5128
217	3955	5117
218	3979	5105
219	3995	5084
220	4023	5078
221	4040	5059
222	4053	5034
223	4072	5018
224	4086	4995
225	4105	4977
226	4119	4953
227	4138	4937
228	4157	4919
229	4175	4901
230	4191	4880
231	4253	4914
232	4310	4940
233	4354	4949
234	4436	5002
235	4514	5050
236	4549	5048
237	4594	5057
238	4626	5052
239	4640	5026
240	4659	5007
241	4674	4983
242	4691	4962
243	4705	4936
244	4725	4917
245	4743	4897
246	4760	4875
247	4775	4852
248	4794	4833
249	4811	4811
250	4828	4790
251	4844	4767
252	4865	4749
253	4883	4729
254	4897	4705
255	4919	4689
256	4937	4668
257	4955	4648
258	4971	4625
259	4991	4607
260	5014	4591
261	5027	4566
262	5046	4547
263	5062	4525
264	5079	4504
265	5092	4480
266	5111	4460
267	5125	4437
268	5143	4416
269	5156	4392
270	5175	4373
271	5190	4351
272	5208	4330
273	5223	4308
274	5241	4288
275	5256	4266
276	5275	4246
277	5293	4227
278	5315	4210
279	5332	4189
280	5345	4166
281	5359	4143
282	5401	4142
283	5419	4121
284	5438	4103
285	5456	4082
286	5479	4066
287	5500	4048
288	5515	4027
289	5535	4008
290	5649	4057
291	5672	4040
292	5686	4017
293	5701	3994
294	5716	3972
295	5730	3949
296	5745	3926
297	5758	3903
298	5772	3880
299	5786	3857
300	5799	3834
301	5814	3811
302	5828	3789
303	5843	3767
304	5857	3744
305	5873	3723
306	5914	3718
307	5929	3696
308	5943	3673
309	5958	3651
310	5972	3629
311	5988	3608
312	6003	3586
313	6017	3564
314	6031	3542
315	6044	3519
316	6059	3497
317	6073	3476
318	6088	3454
319	6102	3432
320	6117	3411
321	6163	3407
322	6178	3385
323	6192	3364
324	6206	3341
325	6219	3319
326	6232	3297
327	6245	3275
328	6258	3252
